ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2018-10-01T00:00:00,Exit,Upper Level,1056654,2018-10-01|Exit|Upper Level
2019-01-01T00:00:00,Entry,Lower Level,1266899,2019-01-01|Entry|Lower Level
2019-01-01T00:00:00,Entry,Upper Level,1508983,2019-01-01|Entry|Upper Level
2019-01-01T00:00:00,Exit,Lower Level,1798222,2019-01-01|Exit|Lower Level
2019-01-01T00:00:00,Exit,Upper Level,1047242,2019-01-01|Exit|Upper Level
2019-02-01T00:00:00,Entry,Lower Level,1091186,2019-02-01|Entry|Lower Level
2019-02-01T00:00:00,Entry,Upper Level,1368446,2019-02-01|Entry|Upper Level
2019-02-01T00:00:00,Exit,Lower Level,1565004,2019-02-01|Exit|Lower Level
2019-02-01T00:00:00,Exit,Upper Level,955072,2019-02-01|Exit|Upper Level
2019-03-01T00:00:00,Entry,Lower Level,1306582,2019-03-01|Entry|Lower Level
2019-03-01T00:00:00,Entry,Upper Level,1606233,2019-03-01|Entry|Upper Level
2019-03-01T00:00:00,Exit,Lower Level,1856876,2019-03-01|Exit|Lower Level
2019-03-01T00:00:00,Exit,Upper Level,1120567,2019-03-01|Exit|Upper Level
